"ENTITY_CD","OVERALL_STATUS"
"022302040004","Good Standing"
"022401040000","Good Standing"
"022401040003","Good Standing"
"022601060000","Good Standing"
"022601060004","Good Standing"
"022601060005","Good Standing"
"022902040000","Good Standing"
"022902040001","Good Standing"
"022902040002","Good Standing"
"030101060000","Good Standing"
"030101060001","Good Standing"
"030101060003","Good Standing"
"030101060004","Good Standing"
"030200010000","Target District"
"030200010002","Targeted Support and Improvement"
"030200010005","Comprehensive Support and Improvement"
"030200010008","Good Standing"
"030200010011","Targeted Support and Improvement"
"030200010012","Comprehensive Support and Improvement"
"030200010014","Targeted Support and Improvement"
"030200010015","Targeted Support and Improvement"
"030200010016","Targeted Support and Improvement"
"030200010021","Targeted Support and Improvement"
"030200010022","Good Standing"
"030501040000","Target District"
"030501040001","Comprehensive Support and Improvement"
"030501040003","Good Standing"
"030601060000","Good Standing"
"030601060001","Good Standing"
"030601060004","Good Standing"
"030601060005","Good Standing"
"030601060006","Good Standing"
"030701060000","Good Standing"
"030701060001","Good Standing"
"030701060003","Good Standing"
"030701060004","Good Standing"
"030701060005","Good Standing"
"010100010034","Good Standing"
"010100010039","Good Standing"
"010100010043","Good Standing"
"010100010044","Comprehensive Support and Improvement"
"010100010045","Comprehensive Support and Improvement"
"010100010050","Good Standing"
"010100860829","Good Standing"
"010100860830","Good Standing"
"010100860867","Good Standing"
"010100860892","Good Standing"
"010100860899","Good Standing"
"010100860907","Good Standing"
"010100860960","Good Standing"
"010201040000","Good Standing"
"010201040001","Good Standing"
"010201040002","Good Standing"
"010306060000","Good Standing"
"010306060003","Good Standing"
"010306060004","Good Standing"
"010306060005","Good Standing"
"010306060006","Good Standing"
"010306060007","Good Standing"
"010306060008","Good Standing"
"010306060009","Good Standing"
"010402060000","Good Standing"
"031101060000","Good Standing"
"031101060003","Good Standing"
"031101060004","Good Standing"
"031101060005","Good Standing"
"031101060006","Good Standing"
"031301040000","Good Standing"
"031301040002","Good Standing"
"031301040003","Good Standing"
"031401060000","Good Standing"
"031401060002","Good Standing"
"031401060004","Good Standing"
"031401060005","Good Standing"
"031501060000","Target District"
"031501060001","Good Standing"
"031501060002","Good Standing"
"031501060007","Good Standing"
"031501060009","Good Standing"
"031501060012","Good Standing"
"031501060013","Good Standing"
"031501060014","Good Standing"
"031502060000","Target District"
"031502060001","Targeted Support and Improvement"
"031502060003","Good Standing"
"031502060005","Good Standing"
"031502060006","Good Standing"
"031601060000","Good Standing"
"031601060021","Good Standing"
"031601060022","Good Standing"
"031601060023","Good Standing"
"031601060026","Good Standing"
"031601060028","Good Standing"
"031601060041","Good Standing"
"031601060051","Good Standing"
"031701060000","Good Standing"
"031701060002","Good Standing"
"031701060003","Good Standing"
"031701060004","Good Standing"
"031701060007","Good Standing"
"040204040000","Target District"
"040204040001","Targeted Support and Improvement"
"040302060000","Good Standing"
"040302060001","Good Standing"
"040302060002","Good Standing"
"040901040000","Good Standing"
"040901040001","Good Standing"
"040901040002","Good Standing"
"041101040000","Good Standing"
"041101040002","Good Standing"
"041101040003","Good Standing"
"041401040000","Good Standing"
"041401040001","Good Standing"
"042302040000","Good Standing"
"042302040002","Good Standing"
"042302040003","Good Standing"
"042302040004","Good Standing"
"042400010000","Target District"
"042400010002","Good Standing"
"042400010004","Good Standing"
"042400010013","Good Standing"
"042400010016","Good Standing"
"042801060000","Target District"
"042801060001","Good Standing"
"042801060005","Good Standing"
"042801060006","Good Standing"
"042901040000","Good Standing"
"042901040001","Good Standing"
"042901040002","Good Standing"
"043001040000","Good Standing"
"043001040002","Good Standing"
"043001040003","Good Standing"
"043011020000","Good Standing"
"043011020001","Good Standing"
"043011020002","Good Standing"
"043200050000","Target District"
"043200050002","Good Standing"
"043200050004","Good Standing"
"043200050005","Good Standing"
"043501060000","Good Standing"
"043501060001","Good Standing"
"043501060004","Good Standing"
"043501060005","Good Standing"
"043501060006","Good Standing"
"050100010000","Target District"
"050100010002","Comprehensive Support and Improvement"
"050100010004","Good Standing"
"050100010005","Good Standing"
"050100010007","Targeted Support and Improvement"
"050100010008","Good Standing"
"050100010009","Targeted Support and Improvement"
"050100010013","Good Standing"
"050301040000","Good Standing"
"050301040002","Good Standing"
"050301040003","Good Standing"
"050401040000","Target District"
"050401040001","Good Standing"
"050401040002","Targeted Support and Improvement"
"050401040003","Good Standing"
"050701040000","Good Standing"
"050701040005","Good Standing"
"050701040007","Good Standing"
"051101040000","Good Standing"
"051101040001","Good Standing"
"051101040004","Good Standing"
"051301040000","Good Standing"
"051301040001","Good Standing"
"051301040003","Good Standing"
"051901040000","Good Standing"
"051901040002","Good Standing"
"051901040005","Good Standing"
"051901040006","Good Standing"
"060201060000","Good Standing"
"060201060003","Good Standing"
"060201060006","Good Standing"
"060201060007","Good Standing"
"060301040000","Good Standing"
"060301040002","Good Standing"
"060301040004","Good Standing"
"060401040000","Good Standing"
"060401040003","Good Standing"
"060401040006","Good Standing"
"060503040000","Good Standing"
"060503040001","Good Standing"
"060503040002","Good Standing"
"060601040000","Good Standing"
"060601040002","Good Standing"
"060601040003","Good Standing"
"060701040000","Good Standing"
"060701040003","Good Standing"
"060800010000","Target District"
"060800010003","Good Standing"
"060800010004","Good Standing"
"060800010005","Good Standing"
"060800010007","Good Standing"
"060800010009","Good Standing"
"060800010010","Targeted Support and Improvement"
"061001040000","Good Standing"
"061001040001","Good Standing"
"061001040005","Good Standing"
"061101040000","Good Standing"
"061101040001","Good Standing"
"061101040007","Good Standing"
"061101040009","Good Standing"
"061501040000","Good Standing"
"061501040001","Good Standing"
"061501040002","Good Standing"
"061501040003","Good Standing"
"061503040000","Good Standing"
"061503040002","Good Standing"
"061503040003","Good Standing"
"061601040000","Good Standing"
"061601040001","Good Standing"
"061601040003","Good Standing"
"061700010000","Target District"
"061700010001","Targeted Support and Improvement"
"061700010003","Good Standing"
"061700010006","Good Standing"
"061700010007","Good Standing"
"061700010009","Good Standing"
"061700010010","Targeted Support and Improvement"
"061700010011","Good Standing"
"061700010012","Targeted Support and Improvement"
"061700010013","Good Standing"
"062201060000","Target District"
"062201060001","Good Standing"
"062201060002","Targeted Support and Improvement"
"062201060003","Good Standing"
"062301040000","Good Standing"
"062301040002","Good Standing"
"062301040003","Good Standing"
"062401040000","Good Standing"
"062401040001","Good Standing"
"062601040000","Good Standing"
"062601040002","Good Standing"
"062601040003","Good Standing"
"062901040000","Good Standing"
"062901040001","Good Standing"
"062901040002","Good Standing"
"062901040004","Good Standing"
"070600010000","Target District"
"070600010006","Targeted Support and Improvement"
"070600010007","Targeted Support and Improvement"
"070600010010","Good Standing"
"070600010013","Targeted Support and Improvement"
"070600010014","Good Standing"
"070600010015","Good Standing"
"070600010016","Comprehensive Support and Improvement"
"070600010019","Comprehensive Support and Improvement"
"070600010020","Targeted Support and Improvement"
"070600010021","Good Standing"
"070600010022","Good Standing"
"070600861078","Good Standing"
"070901060000","Target District"
"070901060003","Good Standing"
"070901060004","Good Standing"
"070901060005","Good Standing"
"070901060007","Good Standing"
"070901060009","Good Standing"
"070901060010","Good Standing"
"070901060011","Good Standing"
"070902060000","Target District"
"070902060002","Good Standing"
"070902060004","Targeted Support and Improvement"
"070902060006","Good Standing"
"080101040000","Target District"
"080101040002","Good Standing"
"080101040003","Comprehensive Support and Improvement"
"080201040000","Good Standing"
"080201040001","Good Standing"
"080201040002","Good Standing"
"080201040003","Good Standing"
"080601040000","Good Standing"
"080601040001","Good Standing"
"080601040002","Good Standing"
"080601040003","Good Standing"
"080601040004","Good Standing"
"081003040000","Good Standing"
"081003040003","Good Standing"
"081003040006","Good Standing"
"081200050000","Good Standing"
"081200050001","Good Standing"
"081200050002","Good Standing"
"081200050003","Good Standing"
"081200050004","Good Standing"
"081401040000","Good Standing"
"081401040001","Good Standing"
"081501040000","Good Standing"
"081501040001","Good Standing"
"081501040002","Good Standing"
"081501040003","Good Standing"
"082001040000","Target District"
"082001040002","Targeted Support and Improvement"
"082001040003","Good Standing"
"082001040004","Good Standing"
"090201040000","Target District"
"090201040001","Good Standing"
"090201040002","Good Standing"
"090201040004","Good Standing"
"090201040005","Comprehensive Support and Improvement"
"090301060000","Good Standing"
"090301060001","Good Standing"
"090301060003","Good Standing"
"090301060005","Good Standing"
"090301060006","Good Standing"
"090501040000","Good Standing"
"090501040002","Good Standing"
"090501040003","Good Standing"
"090501040006","Good Standing"
"090501040007","Good Standing"
"090601020000","Good Standing"
"090601020001","Good Standing"
"090601020002","Good Standing"
"090901040000","Good Standing"
"090901040001","Good Standing"
"090901040002","Good Standing"
"091101060000","Good Standing"
"091101060004","Good Standing"
"091101060005","Good Standing"
"091200010000","Good Standing"
"091200010001","Good Standing"
"091200010003","Good Standing"
"091200010004","Good Standing"
"091200010005","Good Standing"
"091200010006","Good Standing"
"091402060000","Good Standing"
"091402060002","Good Standing"
"091402060004","Good Standing"
"091402060005","Good Standing"
"091402060007","Good Standing"
"100308020000","Good Standing"
"100308020001","Good Standing"
"100308020002","Good Standing"
"100501040000","Target District"
"100501040003","Comprehensive Support and Improvement"
"100501040006","Good Standing"
"100902040000","Good Standing"
"100902040003","Good Standing"
"100902040004","Good Standing"
"101001040000","Good Standing"
"101001040001","Good Standing"
"101001040002","Good Standing"
"101001040006","Good Standing"
"101300010000","Good Standing"
"101300010001","Good Standing"
"101300010003","Good Standing"
"101300010004","Good Standing"
"101401040000","Good Standing"
"101401040004","Good Standing"
"101401040005","Good Standing"
"101401040006","Good Standing"
"101601040000","Good Standing"
"101601040002","Good Standing"
"101601040003","Good Standing"
"110101040000","Good Standing"
"110101040001","Good Standing"
"110101040002","Good Standing"
"110101040003","Good Standing"
"110200010000","Target District"
"110200010003","Good Standing"
"110200010009","Good Standing"
"110200010010","Good Standing"
"110200010011","Good Standing"
"110200010012","Good Standing"
"110304040000","Good Standing"
"110304040001","Good Standing"
"110304040002","Good Standing"
"110701060000","Target District"
"110701060001","Good Standing"
"110701060002","Good Standing"
"110701060003","Targeted Support and Improvement"
"110701060006","Good Standing"
"110901040000","Good Standing"
"110901040001","Good Standing"
"110901040002","Good Standing"
"120102040000","Good Standing"
"120102040001","Good Standing"
"120301040000","Good Standing"
"120301040001","Good Standing"
"120401040000","Target District"
"120401040001","Comprehensive Support and Improvement"
"120501040000","Good Standing"
"120501040001","Good Standing"
"120501040002","Good Standing"
"120701040000","Good Standing"
"120701040001","Good Standing"
"120906040000","Good Standing"
"120906040001","Good Standing"
"120906040002","Good Standing"
"121401040000","Good Standing"
"121401040001","Good Standing"
"121502040000","Good Standing"
"121502040001","Good Standing"
"121601060000","Good Standing"
"121601060002","Good Standing"
"121601060005","Good Standing"
"121601060006","Good Standing"
"121701040000","Good Standing"
"121701040001","Good Standing"
"121702040000","Good Standing"
"121702040001","Good Standing"
"121901040000","Good Standing"
"121901040001","Good Standing"
"121901040002","Good Standing"
"121901040003","Good Standing"
"130200010000","Target District"
"130200010001","Good Standing"
"130200010002","Good Standing"
"130200010003","Good Standing"
"130200010004","Targeted Support and Improvement"
"130200010005","Good Standing"
"130200010006","Targeted Support and Improvement"
"130502020000","Good Standing"
"130502020001","Good Standing"
"130502020002","Good Standing"
"130502020003","Good Standing"
"130502020004","Good Standing"
"130801060000","Target District"
"130801060002","Good Standing"
"130801060003","Good Standing"
"130801060005","Good Standing"
"130801060006","Targeted Support and Improvement"
"130801060007","Good Standing"
"130801060008","Good Standing"
"131101040000","Target District"
"131101040004","Good Standing"
"131101040006","Comprehensive Support and Improvement"
"131101040007","Good Standing"
"131201040000","Good Standing"
"131201040001","Good Standing"
"131201040002","Good Standing"
"131201040003","Good Standing"
"131301040000","Good Standing"
"131301040001","Good Standing"
"131301040002","Good Standing"
"131301040003","Good Standing"
"131500010000","Target District"
"131500010001","Targeted Support and Improvement"
"131500010003","Targeted Support and Improvement"
"131500010006","Good Standing"
"131500010007","Good Standing"
"131500010009","Comprehensive Support and Improvement"
"131500010010","Targeted Support and Improvement"
"131500010011","Targeted Support and Improvement"
"131500010013","Good Standing"
"131601060000","Target District"
"131601060001","Good Standing"
"131601060002","Good Standing"
"131601060004","Good Standing"
"131601060005","Good Standing"
"131601060008","Good Standing"
"131601060010","Good Standing"
"131601060011","Good Standing"
"131601060012","Targeted Support and Improvement"
"131601060013","Good Standing"
"131601060014","Good Standing"
"131601060015","Good Standing"
"131602020000","Good Standing"
"131602020001","Good Standing"
"131602020003","Good Standing"
"131602020004","Good Standing"
"131602020005","Good Standing"
"131701060000","Good Standing"
"131701060002","Good Standing"
"131701060004","Good Standing"
"131701060006","Good Standing"
"131701060008","Good Standing"
"131801040000","Good Standing"
"131801040001","Good Standing"
"131801040002","Good Standing"
"131801040003","Good Standing"
"132101060000","Target District"
"132101060001","Good Standing"
"132101060002","Good Standing"
"132101060003","Good Standing"
"132101060004","Good Standing"
"132101060005","Good Standing"
"132101060006","Good Standing"
"132101060007","Good Standing"
"132101060008","Good Standing"
"132101060009","Good Standing"
"132101060010","Targeted Support and Improvement"
"132101060011","Good Standing"
"132101060012","Good Standing"
"132101060013","Good Standing"
"132101060015","Good Standing"
"132101060016","Good Standing"
"132201040000","Good Standing"
"132201040001","Good Standing"
"132201040002","Good Standing"
"132201040003","Good Standing"
"132201040005","Good Standing"
"140101060000","Good Standing"
"140101060003","Good Standing"
"140101060005","Good Standing"
"140101060006","Good Standing"
"140101060007","Good Standing"
"140201060000","Good Standing"
"140201060001","Good Standing"
"140201060002","Good Standing"
"140201060005","Good Standing"
"140201060006","Good Standing"
"140203060000","Good Standing"
"140203060001","Good Standing"
"140203060002","Good Standing"
"140203060003","Good Standing"
"140203060004","Good Standing"
"140203060005","Good Standing"
"140203060007","Good Standing"
"140203060008","Good Standing"
"140203060009","Good Standing"
"140203060010","Good Standing"
"140203060011","Good Standing"
"140203060012","Good Standing"
"140203060013","Good Standing"
"140203060015","Good Standing"
"140207060000","Good Standing"
"140207060002","Good Standing"
"140207060003","Good Standing"
"140207060005","Good Standing"
"140207060006","Good Standing"
"140207060007","Good Standing"
"140207060008","Good Standing"
"140301030000","Good Standing"
"140301030001","Good Standing"
"140301030004","Good Standing"
"140301030005","Good Standing"
"140600010000","Target District"
"140600010001","Good Standing"
"140600010003","Good Standing"
"140600010006","Good Standing"
"140600010017","Good Standing"
"140600010018","Targeted Support and Improvement"
"140600010019","Targeted Support and Improvement"
"140600010027","Good Standing"
"140600010031","Comprehensive Support and Improvement"
"140600010033","Good Standing"
"140600010037","Comprehensive Support and Improvement"
"140600010042","Good Standing"
"140600010043","Comprehensive Support and Improvement"
"140600010045","Good Standing"
"140600010053","Good Standing"
"140600010054","Good Standing"
"140600010056","Good Standing"
"140600010059","Good Standing"
"140600010061","Good Standing"
"140600010064","Good Standing"
"140600010065","Good Standing"
"140600010069","Good Standing"
"140600010072","Good Standing"
"140600010074","Good Standing"
"140600010076","Good Standing"
"140600010080","Good Standing"
"140600010081","Good Standing"
"140600010082","Comprehensive Support and Improvement"
"140600010084","Good Standing"
"140600010093","Targeted Support and Improvement"
"140600010094","Good Standing"
"140600010097","Good Standing"
"140600010098","Good Standing"
"140600010101","Comprehensive Support and Improvement"
"140600010102","Good Standing"
"140600010104","Good Standing"
"140600010105","Good Standing"
"140600010110","Targeted Support and Improvement"
"140600010118","Good Standing"
"140600010119","Good Standing"
"140600010122","Targeted Support and Improvement"
"140600010126","Targeted Support and Improvement"
"140600010128","Good Standing"
"140600010129","Targeted Support and Improvement"
"140600010130","Good Standing"
"140600010132","Comprehensive Support and Improvement"
"140600010133","Comprehensive Support and Improvement"
"140600010135","Good Standing"
"140600010140","Good Standing"
"140600010141","Good Standing"
"140600010197","Comprehensive Support and Improvement"
"140600010308","Good Standing"
"140600010309","Good Standing"
"140600010310","Good Standing"
"140600010311","Good Standing"
"140600010312","Good Standing"
"140600010313","Good Standing"
"140600010314","Good Standing"
"140600010315","Good Standing"
"140600010316","Good Standing"
"140600860814","Good Standing"
"140600860817","Good Standing"
"140600860838","Good Standing"
"140600860851","Good Standing"
"140600860856","Good Standing"
"140600860861","Good Standing"
"140600860863","Good Standing"
"140600860874","Good Standing"
"140600860896","Good Standing"
"140600860961","Good Standing"
"140600860986","Good Standing"
"140600861072","Comprehensive Support and Improvement"
"140600861105","Good Standing"
"140600861109","Good Standing"
"140600861129","Good Standing"
"140600861134","Good Standing"
"140701060000","Target District"
"140701060004","Targeted Support and Improvement"
"140701060006","Good Standing"
"140701060007","Targeted Support and Improvement"
"140702030000","Target District"
"140702030003","Good Standing"
"140702030004","Targeted Support and Improvement"
"140702030005","Good Standing"
"140702030006","Good Standing"
"140703020000","Good Standing"
"140703020002","Good Standing"
"140703020003","Good Standing"
"140703020004","Good Standing"
"140707030003","Good Standing"
"140707030004","Good Standing"
"140707030005","Good Standing"
"140709030000","Target District"
"140709030001","Good Standing"
"140709030002","Good Standing"
"140709030003","Targeted Support and Improvement"
"140709030004","Good Standing"
"140801060000","Good Standing"
"140801060002","Good Standing"
"140801060003","Good Standing"
"140801060005","Good Standing"
"140801060006","Good Standing"
"140801060007","Good Standing"
"140801060008","Good Standing"
"141101060000","Good Standing"
"141101060001","Good Standing"
"141101060002","Good Standing"
"141101060003","Good Standing"
"141101060004","Good Standing"
"141201060000","Good Standing"
"141201060001","Good Standing"
"141201060002","Good Standing"
"141201060005","Good Standing"
"141301060000","Good Standing"
"141301060002","Good Standing"
"141301060003","Good Standing"
"141301060004","Good Standing"
"141301060005","Good Standing"
"141301060006","Good Standing"
"141301060007","Good Standing"
"141401060000","Target District"
"141401060001","Good Standing"
"141401060003","Good Standing"
"141401060004","Good Standing"
"141401060008","Good Standing"
"141401060009","Good Standing"
"141501060000","Good Standing"
"141501060001","Good Standing"
"141501060003","Good Standing"
"141501060004","Good Standing"
"141501060005","Good Standing"
"141501060006","Good Standing"
"141601060000","Good Standing"
"141601060001","Good Standing"
"141601060002","Good Standing"
"141601060003","Good Standing"
"141601060004","Good Standing"
"141601060006","Good Standing"
"141601060007","Good Standing"
"141604060000","Good Standing"
"141604060003","Good Standing"
"141604060004","Good Standing"
"141604060005","Good Standing"
"141604060006","Good Standing"
"141604060007","Good Standing"
"141604060008","Good Standing"
"141701040000","Good Standing"
"141701040001","Good Standing"
"141701040002","Good Standing"
"141701040004","Good Standing"
"141800010000","Target District"
"141800010005","Good Standing"
"141800010008","Targeted Support and Improvement"
"141800010010","Targeted Support and Improvement"
"141800010011","Good Standing"
"141800860044","Good Standing"
"141901060000","Good Standing"
"141901060001","Good Standing"
"141901060004","Good Standing"
"141901060005","Good Standing"
"141901060006","Good Standing"
"141901060007","Good Standing"
"141901060008","Good Standing"
"141901060010","Good Standing"
"142101040000","Good Standing"
"142101040001","Good Standing"
"142101040002","Good Standing"
"142101040003","Good Standing"
"142201040000","Target District"
"142201040001","Comprehensive Support and Improvement"
"142201040002","Good Standing"
"142301060000","Target District"
"142301060001","Good Standing"
"142301060002","Good Standing"
"142301060003","Good Standing"
"142301060005","Good Standing"
"142301060006","Good Standing"
"142301060007","Good Standing"
"142500010000","Good Standing"
"142500010003","Good Standing"
"142500010005","Good Standing"
"142500010007","Good Standing"
"142500010009","Good Standing"
"142601030000","Good Standing"
"142601030003","Good Standing"
"142601030006","Good Standing"
"142601030011","Good Standing"
"142601030013","Good Standing"
"142601030020","Good Standing"
"142601030023","Good Standing"
"142601030024","Good Standing"
"142601030025","Good Standing"
"142601030026","Good Standing"
"142601860031","Good Standing"
"142801060000","Target District"
"142801060005","Targeted Support and Improvement"
"142801060008","Good Standing"
"142801060010","Good Standing"
"142801060011","Targeted Support and Improvement"
"142801060015","Good Standing"
"142801060016","Good Standing"
"142801060017","Good Standing"
"142801060018","Good Standing"
"150203040000","Good Standing"
"150203040001","Good Standing"
"150301040001","Good Standing"
"150601040000","Good Standing"
"150601040001","Good Standing"
"150801040000","Good Standing"
"150801040001","Good Standing"
"150901040000","Good Standing"
"150901040004","Good Standing"
"150901040007","Good Standing"
"151001040000","Target District"
"151001040001","Good Standing"
"151102040002","Good Standing"
"151401040000","Good Standing"
"151401040001","Good Standing"
"151501060000","Good Standing"
"151501060001","Good Standing"
"151501060003","Good Standing"
"151501060007","Good Standing"
"151601040001","Good Standing"
"151701040000","Target District"
"151701040001","Good Standing"
"160101060000","Good Standing"
"160101060001","Good Standing"
"160101060003","Good Standing"
"160801040000","Target District"
"160801040001","Targeted Support and Improvement"
"160801040002","Comprehensive Support and Improvement"
"161201040000","Target District"
"161201040001","Good Standing"
"161201040002","Good Standing"
"161201040003","Good Standing"
"161201040005","Comprehensive Support and Improvement"
"161401060000","Target District"
"161401060001","Targeted Support and Improvement"
"161401060002","Good Standing"
"161401060003","Comprehensive Support and Improvement"
"161401060004","Good Standing"
"161501060000","Target District"
"161501060006","Comprehensive Support and Improvement"
"161501060011","Comprehensive Support and Improvement"
"161501060014","Good Standing"
"161501060015","Comprehensive Support and Improvement"
"161501060016","Good Standing"
"161601040000","Good Standing"
"161601040002","Good Standing"
"161601040003","Good Standing"
"161801040000","Good Standing"
"161801040001","Good Standing"
"170301020000","Good Standing"
"170301020001","Good Standing"
"170500010000","Target District"
"170500010004","Good Standing"
"170500010007","Targeted Support and Improvement"
"170500010008","Comprehensive Support and Improvement"
"170500010009","Targeted Support and Improvement"
"170500010011","Good Standing"
"170600010000","Target District"
"170600010001","Good Standing"
"170600010004","Good Standing"
"170600010005","Good Standing"
"170600010006","Targeted Support and Improvement"
"170600010007","Good Standing"
"170801040000","Target District"
"170801040001","Good Standing"
"170801040002","Comprehensive Support and Improvement"
"170901040000","Good Standing"
"170901040001","Good Standing"
"170901040002","Good Standing"
"171102040000","Good Standing"
"171102040001","Good Standing"
"171102040002","Good Standing"
"171102040003","Good Standing"
"171102040004","Good Standing"
"180202040000","Good Standing"
"180202040002","Good Standing"
"180202040003","Good Standing"
"180300010000","Target District"
"180300010001","Good Standing"
"180300010003","Good Standing"
"180300010005","Good Standing"
"180300010006","Good Standing"
"180701040000","Good Standing"
"180701040001","Good Standing"
"180701040004","Good Standing"
"180901040000","Good Standing"
"180901040001","Good Standing"
"180901040002","Good Standing"
"181001060000","Good Standing"
"181001060001","Good Standing"
"181001060002","Good Standing"
"181101040000","Good Standing"
"181101040001","Good Standing"
"181101040006","Good Standing"
"181201040000","Good Standing"
"181201040001","Good Standing"
"181201040002","Good Standing"
"181302040001","Good Standing"
"181302040003","Good Standing"
"190301040000","Target District"
"190301040001","Comprehensive Support and Improvement"
"190301040003","Good Standing"
"190301040004","Good Standing"
"190401060000","Target District"
"190401060003","Good Standing"
"190401060007","Targeted Support and Improvement"
"190401060008","Good Standing"
"190501040000","Target District"
"190501040001","Good Standing"
"190501040002","Good Standing"
"190501040003","Good Standing"
"190501040004","Comprehensive Support and Improvement"
"190701040000","Target District"
"190701040001","Targeted Support and Improvement"
"190701040004","Good Standing"
"190701040005","Good Standing"
"190901040000","Good Standing"
"190901040001","Good Standing"
"190901040003","Good Standing"
"191401040000","Good Standing"
"191401040001","Good Standing"
"200401040000","Good Standing"
"200401040001","Good Standing"
"200601040000","Good Standing"
"200601040001","Good Standing"
"200701040000","Good Standing"
"200701040001","Good Standing"
"200901040000","Good Standing"
"200901040001","Good Standing"
"210302040000","Target District"
"210302040003","Comprehensive Support and Improvement"
"210302040005","Good Standing"
"210402060000","Target District"
"210402060001","Good Standing"
"210402060003","Targeted Support and Improvement"
"210402060005","Good Standing"
"210601060000","Good Standing"
"210601060005","Good Standing"
"210601060006","Good Standing"
"210800050000","Good Standing"
"210800050001","Good Standing"
"210800050005","Good Standing"
"210800050006","Good Standing"
"211003040000","Target District"
"211003040001","Good Standing"
"211003040002","Good Standing"
"211003040004","Comprehensive Support and Improvement"
"211103040000","Good Standing"
"211103040001","Good Standing"
"211103040003","Good Standing"
"211701040000","Good Standing"
"211701040001","Good Standing"
"211901020000","Good Standing"
"211901020001","Good Standing"
"212001040000","Target District"
"212001040002","Good Standing"
"212001040003","Good Standing"
"212001040005","Good Standing"
"212101040000","Target District"
"212101040001","Targeted Support and Improvement"
"212101040002","Good Standing"
"212101040005","Targeted Support and Improvement"
"212101040006","Good Standing"
"220101040000","Good Standing"
"220101040002","Good Standing"
"220101040003","Good Standing"
"220101040004","Good Standing"
"220101040006","Good Standing"
"220202040000","Good Standing"
"220202040001","Good Standing"
"220202040002","Good Standing"
"220301060000","Good Standing"
"220301060001","Good Standing"
"220301060002","Good Standing"
"220301060003","Good Standing"
"220301060004","Good Standing"
"220301060007","Good Standing"
"220301060008","Good Standing"
"220301060009","Good Standing"
"220301060010","Good Standing"
"220401040000","Good Standing"
"220401040002","Good Standing"
"220401040003","Good Standing"
"220401040004","Good Standing"
"220701040000","Good Standing"
"220701040001","Good Standing"
"220701040002","Good Standing"
"220701040003","Good Standing"
"220701040004","Good Standing"
"220909040000","Good Standing"
"220909040010","Good Standing"
"221001040000","Good Standing"
"221001040001","Good Standing"
"221301040000","Good Standing"
"221301040001","Good Standing"
"221401040000","Good Standing"
"221401040001","Good Standing"
"222000010000","Target District"
"222000010007","Good Standing"
"222000010010","Good Standing"
"222000010011","Good Standing"
"222000010013","Comprehensive Support and Improvement"
"222000010014","Good Standing"
"222000010015","Good Standing"
"222000010016","Good Standing"
"222000010017","Good Standing"
"222201060000","Good Standing"
"222201060001","Good Standing"
"222201060002","Good Standing"
"222201060005","Good Standing"
"222201060006","Good Standing"
"222201060011","Good Standing"
"230201040000","Good Standing"
"230201040001","Good Standing"
"230301040000","Good Standing"
"230301040001","Good Standing"
"230301040002","Good Standing"
"230901040000","Good Standing"
"230901040001","Good Standing"
"230901040002","Good Standing"
"230901040003","Good Standing"
"231101040000","Good Standing"
"231101040005","Good Standing"
